_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
page.onboarding_step1.description,"No ads, just a simple and clean interface.",لا توجد إعلانات، مجرد واجهة بسيطة ونظيفة.,"Keine Werbung, nur eine einfache und übersichtliche Benutzeroberfläche.","Sin anuncios, sólo una interfaz sencilla y limpia.","Sin anuncios, sólo una interfaz sencilla y limpia.","Pas de publicité, juste une interface simple et épurée.","कोई विज्ञापन नहीं, बस एक सरल और साफ़ इंटरफ़ेस।","Tidak ada iklan, hanya antarmuka yang sederhana dan bersih.","Nessuna pubblicità, solo un'interfaccia semplice e pulita.",広告なし、シンプルで<br>クリーンなインターフェースです。,គ្មានការផ្សាយពាណិជ្ជកម្ម គ្រាន់តែជាចំណុចប្រទាក់សាមញ្ញ និងស្អាត។,"광고 없이, 단순하고
깔끔한 인터페이스예요","Żadnych reklam, po prostu prosty i przejrzysty interfejs.","Sem anúncios, apenas uma interface simples e limpa.","Không có quảng cáo, chỉ có một giao diện đơn giản và rõ ràng.",没有广告，只有简单干净的界面。,"Без рекламы, простой и понятный интерфейс.","Без реклами, тільки простий і зрозумілий інтерфейс.","Reklam yok, sadece sade ve temiz bir arayüz."
page.onboarding_step1.title,Write without distractions,اكتب دون تشتيت الانتباه,Schreiben Sie ohne Ablenkungen,Escribe sin distracciones,Escribe sin distracciones,Écrivez sans distractions,बिना ध्यान भटकाए लिखें,Menulis tanpa gangguan,Scrivi senza distrazioni,邪魔されずに、集中して書いてみましょう。,សរសេរដោយគ្មានការរំខាន,방해받지 않고 집중해서 써보세요,Pisz bez zakłóceń,Escreva sem distrações,Viết mà không bị phân tâm,心无旁骛地写作,"Пишите, не отвлекаясь!",Пишіть без відволікань,Dikkat dağıtıcı unsurlardan uzak bir şekilde yazın.
page.onboarding_step2.description,"Write, format, and edit with ease.",الكتابة والتنسيق والتحرير بكل سهولة.,"Mit Leichtigkeit schreiben, formatieren und bearbeiten.","Escribe, formatea y edita con facilidad.","Escribe, formatea y edita con facilidad.","Écrivez, formatez et modifiez facilement.","आसानी से लिखें, प्रारूपित करें और संपादित करें।","Tulis, format, dan edit dengan mudah.","Scrivi, formatta e modifica con facilità.","気軽に書いて、装飾して、
編集できます。",សរសេរ ធ្វើទ្រង់ទ្រាយ និងកែសម្រួលដោយងាយស្រួល។,"편하게 쓰고, 꾸미고, 편집하세요","Pisz, formatuj i edytuj z łatwością.","Escreva, formate e edite com facilidade.","Viết, định dạng và chỉnh sửa một cách dễ dàng.",轻松书写、格式化和编辑。,"Свободно пишите, фоматируйте и редактируйте истории с любого устройства.","Легко пишіть, форматуйте та редагуйте.","Kolayca yazın, biçimlendirin ve düzenleyin."
page.onboarding_step2.title,Text editor with all the tools,محرر نصوص مزود بجميع الأدوات,Texteditor mit allen Tools,Editor de texto con todas las herramientas.,Editor de texto con todas las herramientas.,Éditeur de texte avec tous les outils,सभी उपकरणों के साथ पाठ संपादक,Editor teks dengan semua alatnya,Editor di testo con tutti gli strumenti,"自由に書いてください、
必要な機能はすべて揃っています。",កម្មវិធីនិពន្ធអត្ថបទជាមួយឧបករណ៍ទាំងអស់។,"쓰고 싶은 걸 자유롭게, 필요한 건 다 있어요",Edytor tekstu ze wszystkimi narzędziami,Editor de texto com todas as ferramentas,Trình soạn thảo văn bản với tất cả các công cụ,具有所有工具的文本编辑器,Текстовый редактор со всеми инструментами,Текстовий редактор з усіма інструментами,Tüm araçlara sahip metin düzenleyici
page.onboarding_step3.description,Easily back up and access your stories from any device.,يمكنك بسهولة إجراء نسخ احتياطي لقصصك والوصول إليها من أي جهاز.,Sichern Sie Ihre Storys ganz einfach und greifen Sie von jedem Gerät darauf zu.,Realice copias de seguridad y acceda fácilmente a sus historias desde cualquier dispositivo.,Realice copias de seguridad y acceda fácilmente a sus historias desde cualquier dispositivo.,Sauvegardez et accédez facilement à vos histoires depuis n’importe quel appareil.,किसी भी डिवाइस से अपनी कहानियों का आसानी से बैकअप लें और उन तक पहुंचें।,Cadangkan dan akses cerita Anda dengan mudah dari perangkat apa pun.,Esegui facilmente il backup e accedi facilmente alle tue storie da qualsiasi dispositivo.,どのデバイスからでもストーリーをバックアップ＆復元できます。,ងាយស្រួលបម្រុងទុក និងចូលប្រើរឿងរបស់អ្នកពីឧបករណ៍ណាមួយ។,"어떤 기기에서도 스토리를 쉽게
백업하고 불러올 수 있어요",Z łatwością twórz kopie zapasowe swoich historii i uzyskuj do nich dostęp z dowolnego urządzenia.,Faça backup e acesse facilmente suas histórias em qualquer dispositivo.,Dễ dàng sao lưu và truy cập câu chuyện của bạn từ bất kỳ thiết bị nào.,从任何设备轻松备份和访问您的故事。,С легкостью храните и открывайте ваши истории с любого устройства.,Легко створюйте резервні копії своїх розповідей та отримуйте до них доступ з будь-якого пристрою.,Hikayelerinizi herhangi bir cihazdan kolayca yedekleyin ve erişin.
page.onboarding_step3.title,Save to Google Drive,حفظ إلى جوجل درايف,Auf Google Drive speichern,Guardar en Google Drive,Guardar en Google Drive,Enregistrer sur Google Drive,गूगल ड्राइव में सेव करें,Simpan ke Google Drive,Salva su Google Drive,Google ドライブに保存,រក្សាទុកទៅ Google ថាស,Google 드라이브에 저장하기,Zapisz na Dysku Google,Salvar no Google Drive,Lưu vào Google Drive,保存到 Google Drive,Сохранить на Диск,Зберегти до Google Drive,Google Drive'a kaydet
page.onboarding_step4.description,Your data is yours alone. We don't store or share it.,بياناتك ملكك وحدك. نحن لا نخزنها أو نشاركها.,Ihre Daten gehören allein Ihnen. Wir speichern oder teilen sie nicht.,Tus datos son sólo tuyos. No lo almacenamos ni lo compartimos.,Tus datos son sólo tuyos. No lo almacenamos ni lo compartimos.,Vos données vous appartiennent uniquement. Nous ne le stockons ni ne le partageons.,आपका डेटा केवल आपका है. हम इसे संग्रहीत या साझा नहीं करते हैं.,Data Anda adalah milik Anda sendiri. Kami tidak menyimpan atau membagikannya.,I tuoi dati sono solo tuoi. Non lo archiviamo né lo condividiamo.,あなたのデータは完全にあなたのもの。保存も共有もされません。,ទិន្នន័យរបស់អ្នកគឺជារបស់អ្នកតែម្នាក់ឯង។ យើងមិនរក្សាទុក ឬចែករំលែកវាទេ។,당신의 데이터는 온전히 당신 거예요. 저희는 저장하거나 공유하지 않아요,Twoje dane są wyłącznie Twoje. Nie przechowujemy ich ani nie udostępniamy.,Seus dados são somente seus. Nós não armazenamos ou compartilhamos.,Dữ liệu của bạn là của riêng bạn. Chúng tôi không lưu trữ hoặc chia sẻ nó.,您的数据仅属于您自己。我们不存储或共享它。,Ваши данные - только ваши. Мы не храним и не делимся ими ни с кем.,Ваші дані належать тільки вам. Ми не зберігаємо і не передаємо їх.,Verileriniz yalnızca size aittir. Verilerinizi saklamıyoruz veya paylaşmıyoruz.
page.onboarding_step4.title,"Your stories, your privacy",قصصك، خصوصيتك,"Ihre Geschichten, Ihre Privatsphäre","Tus historias, tu privacidad","Tus historias, tu privacidad","Vos histoires, votre vie privée","आपकी कहानियाँ, आपकी गोपनीयता","Cerita Anda, privasi Anda","Le tue storie, la tua privacy",あなたの物語、あなたの大切な個人情報,រឿងរបស់អ្នក ភាពឯកជនរបស់អ្នក។,"당신의 이야기, 당신의 소중한 개인정보","Twoje historie, Twoja prywatność","Suas histórias, sua privacidade","Câu chuyện của bạn, sự riêng tư của bạn",你的故事，你的隐私,"Ваши истории, ваша приватность","Ваші розповіді, ваша конфіденційність","Hikayeleriniz, gizliliğiniz"
page.paywall.messages.thank_you_pro_user,"Thank you for your purchase, and happy journaling!",شكراً لشرائك، ونتمنى لك تدويناً ممتعاً!,Vielen Dank für Ihren Einkauf und viel Spaß beim Tagebuchschreiben!,¡Gracias por tu compra y que disfrutes escribiendo en tu diario!,¡Gracias por tu compra y que disfrutes escribiendo en tu diario!,Merci pour votre achat et bon journal !,"आपकी खरीदारी के लिए धन्यवाद, और डायरी लिखने का आनंद लें!","Terima kasih atas pembelian Anda, dan selamat menulis jurnal!",Grazie per l'acquisto e buona scrittura!,ご購入いただきありがとうございます。楽しい日記ライフをお過ごしください！,សូមអរគុណសម្រាប់ការទិញរបស់អ្នក និងសូមរីករាយជាមួយកំណត់ហេតុប្រចាំថ្ងៃ!,구매해주셔서 감사합니다. 즐거운 일기 쓰기 되세요!,Dziękujemy za zakup i życzymy owocnego prowadzenia dziennika!,Obrigada pela sua compra e boas anotações no diário!,"Cảm ơn bạn đã mua hàng, và chúc bạn có những trải nghiệm viết nhật ký thú vị!",感谢您的购买，祝您书写愉快！,Спасибо за покупку и приятного ведения дневника!,Розблокуйте всі функції та переваги,Satın alımınız için teşekkür ederiz ve keyifli günlük tutmalar dileriz!
page.paywall.messages.unlock_all_features,Unlock all features and benefits,استمتع بجميع الميزات والفوائد,Schalten Sie alle Funktionen und Vorteile frei,Desbloquea todas las funciones y ventajas.,Desbloquea todas las funciones y ventajas.,Débloquez toutes les fonctionnalités et tous les avantages,सभी सुविधाओं और लाभों को अनलॉक करें,Buka semua fitur dan manfaat,Sblocca tutte le funzionalità e i vantaggi,すべての機能と特典をアンロック,ដោះសោមុខងារ និងអត្ថប្រយោជន៍ទាំងអស់,모든 기능과 혜택을 이용하세요,Odblokuj wszystkie funkcje i korzyści,Desbloqueie todos os recursos e benefícios.,Mở khóa tất cả các tính năng và lợi ích,解锁所有功能和权益,Разблокируйте все функции и преимущества,Desbloquea todas las funciones y ventajas.,Tüm özelliklerin ve avantajların kilidini açın.
page.paywall.title,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro,StoryPad Pro
page.purchase_sync_provider.multiple_providers_message,Connect a backup account to save your purchase or restore StoryPad Pro on another device.,قم بتوصيل حساب احتياطي لحفظ عملية الشراء أو استعادة StoryPad Pro على جهاز آخر.,"Verbinden Sie ein Backup-Konto, um Ihren Kauf zu speichern oder StoryPad Pro auf einem anderen Gerät wiederherzustellen.",Conecta una cuenta de respaldo para guardar tu compra o restaurar StoryPad Pro en otro dispositivo.,Conecta una cuenta de respaldo para guardar tu compra o restaurar StoryPad Pro en otro dispositivo.,Connectez un compte de sauvegarde pour enregistrer votre achat ou restaurer StoryPad Pro sur un autre appareil.,अपनी खरीदारी को सुरक्षित रखने या किसी अन्य डिवाइस पर स्टोरीपैड प्रो को पुनर्स्थापित करने के लिए एक बैकअप खाता कनेक्ट करें।,Hubungkan akun cadangan untuk menyimpan pembelian Anda atau memulihkan StoryPad Pro di perangkat lain.,Collega un account di backup per salvare l'acquisto o ripristinare StoryPad Pro su un altro dispositivo.,バックアップアカウントを接続すると、購入したデータを保存したり、別のデバイスでStoryPad Proを復元したりできます。,ភ្ជាប់គណនីបម្រុងទុកដើម្បីរក្សាទុកការទិញរបស់អ្នក ឬស្ដារ StoryPad Pro នៅលើឧបករណ៍ផ្សេងទៀត។,구매 내역을 저장하거나 다른 기기에서 StoryPad Pro를 복원하려면 백업 계정을 연결하세요.,"Podłącz konto zapasowe, aby zapisać zakup lub przywrócić StoryPad Pro na innym urządzeniu.",Conecte uma conta de backup para salvar sua compra ou restaurar o StoryPad Pro em outro dispositivo.,Kết nối tài khoản dự phòng để lưu lại giao dịch mua của bạn hoặc khôi phục StoryPad Pro trên thiết bị khác.,连接备份帐户以保存您的购买信息或在其他设备上恢复 StoryPad Pro。,"Подключите резервный аккаунт, чтобы сохранить покупку или восстановить StoryPad Pro на другом устройстве.","Підключіть резервний обліковий запис, щоб зберегти покупку або відновити StoryPad Pro на іншому пристрої.",Satın aldığınız ürünü kaydetmek veya StoryPad Pro'yu başka bir cihaza geri yüklemek için bir yedek hesap bağlayın.
page.purchase_sync_provider.single_provider_message,Connect your backup account to save your purchase or restore StoryPad Pro on another device.,قم بتوصيل حساب النسخ الاحتياطي الخاص بك لحفظ عملية الشراء أو استعادة StoryPad Pro على جهاز آخر.,"Verbinden Sie Ihr Backup-Konto, um Ihren Kauf zu speichern oder StoryPad Pro auf einem anderen Gerät wiederherzustellen.",Conecta tu cuenta de respaldo para guardar tu compra o restaurar StoryPad Pro en otro dispositivo.,Conecta tu cuenta de respaldo para guardar tu compra o restaurar StoryPad Pro en otro dispositivo.,Connectez votre compte de sauvegarde pour enregistrer votre achat ou restaurer StoryPad Pro sur un autre appareil.,अपनी खरीदारी को सुरक्षित रखने या किसी अन्य डिवाइस पर स्टोरीपैड प्रो को पुनर्स्थापित करने के लिए अपने बैकअप खाते को कनेक्ट करें।,Hubungkan akun cadangan Anda untuk menyimpan pembelian atau memulihkan StoryPad Pro di perangkat lain.,Collega il tuo account di backup per salvare l'acquisto o ripristinare StoryPad Pro su un altro dispositivo.,バックアップアカウントを接続すると、購入したデータを保存したり、別のデバイスでStoryPad Proを復元したりできます。,ភ្ជាប់គណនីបម្រុងទុករបស់អ្នក ដើម្បីរក្សាទុកការទិញរបស់អ្នក ឬស្ដារ StoryPad Pro នៅលើឧបករណ៍ផ្សេងទៀត។,구매 내역을 저장하거나 다른 기기에서 StoryPad Pro를 복원하려면 백업 계정을 연결하세요.,"Podłącz konto kopii zapasowej, aby zapisać zakup lub przywrócić StoryPad Pro na innym urządzeniu.",Conecte sua conta de backup para salvar sua compra ou restaurar o StoryPad Pro em outro dispositivo.,Kết nối tài khoản sao lưu của bạn để lưu giao dịch mua hoặc khôi phục StoryPad Pro trên thiết bị khác.,连接您的备份帐户以保存您的购买内容或在其他设备上恢复 StoryPad Pro。,"Подключите свой резервный аккаунт, чтобы сохранить покупку или восстановить StoryPad Pro на другом устройстве.","Підключіть свій резервний обліковий запис, щоб зберегти покупку або відновити StoryPad Pro на іншому пристрої.",Satın alma işleminizi kaydetmek veya StoryPad Pro'yu başka bir cihaza geri yüklemek için yedek hesabınızı bağlayın.
page.purchase_sync_provider.title,Sync StoryPad Pro,Sync StoryPad Pro,StoryPad Pro synchronisieren,Sincronizar StoryPad Pro,Sincronizar StoryPad Pro,Sync StoryPad Pro,स्टोरीपैड प्रो को सिंक करें,Sinkronkan StoryPad Pro,Sincronizza StoryPad Pro,StoryPad Proを同期する,ធ្វើសមកាលកម្ម StoryPad Pro,스토리패드 프로 동기화,Synchronizuj StoryPad Pro,Sincronizar StoryPad Pro,Đồng bộ StoryPad Pro,同步 StoryPad Pro,Синхронизация StoryPad Pro,Синхронізація StoryPad Pro,StoryPad Pro'yu Senkronize Et
page.relax_sounds.mixes_empty_message,Your mixes will be appeared here.,سيتم عرض مزيج الصوت الخاص بك هنا.,Ihre Soundmischungen werden hier angezeigt.,Tus mezclas de sonido aparecerán aquí.,Tus mezclas de sonido aparecerán aquí.,Vos mixages sonores apparaîtront ici.,आपके ध्वनि मिश्रण यहां दिखाई देंगे।,Campuran suara Anda akan muncul di sini.,I tuoi mix audio appariranno qui.,サウンドミックスはここに表示されます。,ការលាយសំឡេងរបស់អ្នកនឹងត្រូវបានបង្ហាញនៅទីនេះ។,귀하의 사운드 믹스가 여기에 표시됩니다.,Twoje miksy dźwiękowe będą wyświetlane tutaj.,Suas mixagens de som aparecerão aqui.,Bản phối âm thanh của bạn sẽ xuất hiện ở đây.,你的混音将在这里显示。,Здесь будут хранится ваши миксы.,Ваші мікси з'являться тут.,Hazırladığınız mixler burada görünecektir.
page.search_filter.title,Filter,فلتر,Filter,Filtrar,Filtrar,Filtre,फ़िल्टर,Menyaring,Filtro,フィルター,តម្រង,필터,Filtr,Filtro,Lọc,筛选,Фильтр,Фільтр,Filtrele
page.search.title,Search,يبحث,Suchen,Buscar,Buscar,Recherche,खोज,Mencari,Ricerca,検索,ស្វែងរក,검색,Szukaj,Procurar,Tìm kiếm,搜索,Поиск,Пошук,Ara
page.security_questions.info,Used to reset your PIN if forgotten.,يُستخدم لإعادة ضبط رقم التعريف الشخصي (PIN) الخاص بك في حالة نسيانه.,"Wird verwendet, um Ihre PIN zurückzusetzen, wenn Sie sie vergessen haben.",Se utiliza para restablecer su PIN si lo olvida.,Se utiliza para restablecer su PIN si lo olvida.,Utilisé pour réinitialiser votre code PIN en cas d'oubli.,यदि आपका पिन भूल जाए तो उसे रीसेट करने के लिए उपयोग किया जाता है।,Digunakan untuk mereset PIN Anda jika lupa.,Utilizzato per reimpostare il PIN se dimenticato.,PINコードを忘れた場合、リセットできます。,ប្រើដើម្បីកំណត់កូដ PIN របស់អ្នកឡើងវិញ ប្រសិនបើភ្លេច។,PIN 코드를 잃어버렸을 때 재설정할 수 있어요,Służy do resetowania kodu PIN w przypadku jego zapomnienia.,Usado para redefinir seu PIN em caso de esquecimento.,Được sử dụng để đặt lại mã PIN của bạn nếu quên.,如果你忘记了 PIN 码，可用于重置 PIN 码。,"Используются, если вы забыли PIN-код.","Використовується для скидання PIN-коду, якщо ви його забули.",PIN kodunuzu unuttuysanız sıfırlamak için kullanılır.
page.security_questions.title,Security Questions,أسئلة أمنية,Sicherheitsfragen,Preguntas de seguridad,Preguntas de seguridad,Questions de sécurité,सुरक्षा प्रश्न,Pertanyaan Keamanan,Domande di sicurezza,セキュリティ質問,សំណួរសុវត្ថិភាព,보안 질문,Pytania zabezpieczające,Perguntas de segurança,Câu hỏi bảo mật,安全问题,Контрольные вопросы,Питання для безпеки,Güvenlik Soruları
page.settings.title,Settings,إعدادات,Einstellungen,Ajustes,Ajustes,Paramètres,सेटिंग्स,Pengaturan,Impostazioni,設定,ការកំណត់,설정,Ustawienia,Configurações,Cài đặt,设置,Настройки,Налаштування,Ayarlar
page.storage_management.label.backups_and_database,Backups & Database,النسخ الاحتياطية وقاعدة البيانات,Backups & Datenbank,Copias de seguridad y base de datos,Copias de seguridad y base de datos,Sauvegardes et base de données,बैकअप और डेटाबेस,Cadangan & Basis Data,Backup e database,バックアップとデータベース,ការបម្រុងទុក និងមូលដ្ឋានទិន្នន័យ,백업 및 데이터베이스,Kopie zapasowe i bazy danych,Cópias de segurança e banco de dados,Sao lưu & Cơ sở dữ liệu,备份和数据库,Резервное копирование и базы данных,Резервні копії та бази даних,Yedeklemeler ve Veritabanı
page.storage_management.label.cache_files,Cache files,ملفات التخزين المؤقت,Cache-Dateien,Archivos de caché,Archivos de caché,Fichiers cache,कैश फ़ाइलें,File cache,File di cache,キャッシュファイル,ឯកសារ​ឃ្លាំងសម្ងាត់,캐시 파일,Pliki pamięci podręcznej,Arquivos de cache,Tệp bộ nhớ đệm,缓存文件,Файлы кэша,Файли кешу,Önbellek dosyaları
page.storage_management.label.free_of,Free {SIZE} of {TOTAL},{SIZE} مجاني من {TOTAL},Frei {SIZE} von {TOTAL},Gratis {TAMAÑO} de {TOTAL},Gratis {TAMAÑO} de {TOTAL},Libre de {SIZE} sur {TOTAL},कुल में से {SIZE} मुफ़्त,Gratis {UKURAN} dari {TOTAL},Gratis {SIZE} di {TOTAL},{TOTAL} の {SIZE} 分の空き容量,ឥតគិតថ្លៃ {SIZE} នៃ {TOTAL},{총액}의 무료 {SIZE},Bezpłatny {SIZE} z {TOTAL},Grátis {SIZE} de {TOTAL},Miễn phí {SIZE} trong {TOTAL},免费赠送 {SIZE} 件 {TOTAL},Бесплатный {РАЗМЕР} из {ВСЕГО},Безкоштовно {SIZE} з {TOTAL},Ücretsiz {SIZE} adet {TOTAL}
page.storage_management.label.images_and_audio,Images & Audio,الصور والصوت,Bilder & Audio,Imágenes y audio,Imágenes y audio,Images et audio,चित्र और ऑडियो,Gambar & Audio,Immagini e audio,画像と音声,រូបភាព និងសំឡេង,이미지 및 오디오,Obrazy i dźwięk,Imagens e áudio,Hình ảnh & Âm thanh,图片和音频,Изображения и аудио,Зображення та аудіо,Görüntüler ve Sesler
page.storage_management.label.other_apps,Other apps: {SIZE},تطبيقات أخرى: {SIZE},Andere Apps: {SIZE},Otras aplicaciones: {SIZE},Otras aplicaciones: {SIZE},Autres applications : {SIZE},अन्य ऐप्स: {SIZE},Aplikasi lainnya: {UKURAN},Altre app: {SIZE},その他のアプリ: {SIZE},កម្មវិធីផ្សេងទៀត៖ {SIZE},기타 앱: {SIZE},Inne aplikacje: {SIZE},Outros aplicativos: {SIZE},Các ứng dụng khác: {SIZE},其他应用：{SIZE},Другие приложения: {SIZE},Інші програми: {SIZE},Diğer uygulamalar: {BOYUT}
page.storage_management.label.overall,Overall: {SIZE},الإجمالي: {الحجم},Gesamt: {GRÖSSE},General: {SIZE},General: {SIZE},Total : {SIZE},संपूर्ण आकार},Secara keseluruhan: {UKURAN},Dimensioni complessive: {DIMENSIONE},全体: {SIZE},សរុប៖ {SIZE},전체 크기: {SIZE},Ogółem: {ROZMIAR},Tamanho total: {SIZE},Tổng thể: {SIZE},整体：{SIZE},Общий размер: {SIZE},Загалом: {SIZE},Genel: {BOYUT}
page.storage_management.label.this_app,This app: {SIZE},هذا التطبيق: {SIZE},Diese App: {SIZE},Esta aplicación: {SIZE},Esta aplicación: {SIZE},Cette application : {SIZE},यह ऐप: {SIZE},Aplikasi ini: {UKURAN},Questa app: {SIZE},このアプリ：{SIZE},កម្មវិធីនេះ៖ {SIZE},이 앱: {SIZE},Ta aplikacja: {SIZE},Este aplicativo: {SIZE},Ứng dụng này: {SIZE},此应用：{SIZE},Это приложение: {SIZE},Цей додаток: {SIZE},Bu uygulama: {BOYUT}
page.storage_management.label.total,Total,المجموع,Gesamt,Total,Total,Total,कुल,Total,Totale,合計,សរុប,총,Całkowity,Total,Tổng cộng,全部的,Общий,Всього,Toplam
page.storage_management.section.cloud_storage,Cloud Storage,التخزين السحابي,Cloud-Speicher,Almacenamiento en la nube,Almacenamiento en la nube,Stockage cloud,घन संग्रहण,Penyimpanan Awan,Archiviazione cloud,クラウドストレージ,ការផ្ទុកទិន្នន័យលើពពក,클라우드 스토리지,Przechowywanie w chmurze,Armazenamento em nuvem,Lưu trữ đám mây,云存储,Облачное хранилище,Хмарне сховище,Bulut Depolama
page.storage_management.section.local_storage,Local Storage,التخزين المحلي,Lokaler Speicher,Almacenamiento local,Almacenamiento local,Stockage local,स्थानीय भंडारण,Penyimpanan Lokal,Archiviazione locale,ローカルストレージ,ការផ្ទុកទិន្នន័យក្នុងស្រុក,로컬 저장소,Pamięć lokalna,Armazenamento local,Lưu trữ cục bộ,本地存储,Локальное хранилище,Локальне сховище,Yerel Depolama
page.storage_management.title,Storage Management,إدارة التخزين,Speicherverwaltung,Gestión de almacenamiento,Gestión de almacenamiento,Gestion du stockage,भंडारण प्रबंधन,Manajemen Penyimpanan,Gestione dell'archiviazione,ストレージ管理,ការគ្រប់គ្រងការផ្ទុក,스토리지 관리,Zarządzanie magazynem,Gestão de armazenamento,Quản lý lưu trữ,存储管理,Управление хранилищем,Управління сховищем,Depolama Yönetimi
page.tags.empty_message,Tags will appear here,سوف تظهر العلامات هنا,Hier werden Tags angezeigt,Las etiquetas aparecerán aquí,Las etiquetas aparecerán aquí,Les balises apparaîtront ici,टैग यहां दिखाई देंगे,Tag akan muncul di sini,I tag verranno visualizzati qui,ここにタグが表示されます。,ស្លាកនឹងបង្ហាញនៅទីនេះ,여기에 태그가 보여질 거예요,Tagi pojawią się tutaj,As tags aparecerão aqui,Thẻ sẽ xuất hiện ở đây,标签将在这里显示。,Здесь находятся ваши тэги,Теги з'являться тут,Etiketler burada görünecektir.
page.tags.title,Tags,العلامات,Schlagworte,Etiquetas,Etiquetas,Balises,टैग,Tag,Tag,タグ,ស្លាក,태그,Tagi,Etiquetas,Thẻ,标签,Теги,Теги,Etiketler
page.templates.empty_message,Your templates will be appeared here.,ستظهر قوالبك هنا.,Ihre Vorlagen werden hier angezeigt.,Tus plantillas aparecerán aquí.,Tus plantillas aparecerán aquí.,Vos modèles apparaîtront ici.,आपके टेम्पलेट्स यहां दिखाई देंगे.,Template Anda akan muncul di sini.,I tuoi modelli appariranno qui.,テンプレートはここに表示されます。,គំរូរបស់អ្នកនឹងបង្ហាញនៅទីនេះ។,귀하의 템플릿이 여기에 표시됩니다.,Twoje szablony będą wyświetlane tutaj.,Seus modelos aparecerão aqui.,Mẫu của bạn sẽ xuất hiện ở đây.,你的模板将在这里显示。,Ваши шаблоны находятся здесь.,Ваші шаблони з'являться тут.,Şablonlarınız burada görünecektir.
page.theme.title,Theme,سمة,Thema,Tema,Tema,Thème,विषय,Tema,Tema,テーマ,ប្រធានបទ,테마,Temat,Tema,chủ đề,主题,Темы,Тема,Tema
page.throwback.question,Respond to your past self.,استجب لذاتك الماضية.,Reagieren Sie auf Ihr früheres Ich.,Responde a tu yo pasado.,Responde a tu yo pasado.,Répondez à votre passé.,अपने अतीत का जवाब दें।,Tanggapi diri Anda di masa lalu.,Rispondi al tuo io passato.,過去の自分に応答してください。,ឆ្លើយតបទៅនឹងអតីតកាលរបស់អ្នក។,과거의 자신에게 답하세요.,Odpowiedz sobie z przeszłości.,Responda ao seu eu passado.,Phản hồi lại bản thân bạn trong quá khứ.,回应过去的自己。,Ответить прошлому себе.,Відповідайте своєму минулому «я».,Geçmişteki benliğinize yanıt verin.
paywall_features.backgrounds.subtitle,Create the right atmosphere for your stories with backgrounds.,ابتكر الجو المناسب لقصصك باستخدام الخلفيات.,Schaffen Sie mit Hintergründen die richtige Atmosphäre für Ihre Geschichten.,Crea la atmósfera adecuada para tus historias con fondos.,Crea la atmósfera adecuada para tus historias con fondos.,Créez l'atmosphère idéale pour vos histoires grâce à des arrière-plans.,बैकग्राउंड का उपयोग करके अपनी कहानियों के लिए सही माहौल बनाएं।,Ciptakan suasana yang tepat untuk cerita Anda dengan latar belakang.,Crea l'atmosfera giusta per le tue storie con gli sfondi.,背景を使ってストーリーに適切な雰囲気を作りましょう。,បង្កើតបរិយាកាសសមស្របសម្រាប់រឿងរបស់អ្នកជាមួយនឹងផ្ទៃខាងក្រោយ។,배경 이미지를 활용하여 이야기에 맞는 분위기를 연출해 보세요.,Stwórz odpowiednią atmosferę dla swoich opowieści za pomocą tła.,Crie a atmosfera ideal para suas histórias com planos de fundo.,Tạo bầu không khí phù hợp cho câu chuyện của bạn bằng cách sử dụng hình nền.,使用背景为你的故事营造合适的氛围。,Создайте подходящую атмосферу для ваших историй с помощью фонов.,Створіть гарну атмосферу для своїх розповідей за допомогою тла.,Arka planlarla hikayeleriniz için doğru atmosferi yaratın.
paywall_features.backgrounds.title,Backgrounds,الخلفيات,Hintergründe,Antecedentes,Antecedentes,Contextes,पृष्ठभूमि,Latar Belakang,Sfondi,背景,ផ្ទៃខាងក្រោយ,배경,Tła,Fundos,Bối cảnh,背景,Фоны,Тло,Arka planlar
